task_id,trajectory,instruction,n_targets,n_trails,n_segments,min_start,max_end,horizon_steps
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bathroom dan pick up the toilet brush; kemudian move ke bedroom and retrieve the photo,Pergi ke bathroom dan pick up the toilet brush; kemudian move ke bedroom and retrieve the photo,2,2,10,12,113,102
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bathroom dan pick up the towel; kemudian move ke bedroom and retrieve the book,Pergi ke bathroom dan pick up the towel; kemudian move ke bedroom and retrieve the book,2,2,10,11,136,126
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bedroom dan pick up the doormat; kemudian move ke living room and retrieve the tv,Pergi ke bedroom dan pick up the doormat; kemudian move ke living room and retrieve the tv,2,2,10,4,86,83
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bathroom dan pick up the cosmetic; kemudian move ke bedroom and retrieve the chest,Pergi ke bathroom dan pick up the cosmetic; kemudian move ke bedroom and retrieve the chest,2,2,10,0,136,137
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bathroom dan pick up the toilet paper; kemudian move ke bedroom and retrieve the lamp,Pergi ke bathroom dan pick up the toilet paper; kemudian move ke bedroom and retrieve the lamp,2,2,10,6,135,130
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bathroom dan pick up the soap; kemudian move ke bedroom and retrieve the lamp,Pergi ke bathroom dan pick up the soap; kemudian move ke bedroom and retrieve the lamp,1,1,10,4,72,69
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke tie laundry room dan pick up the board; kemudian move ke bedroom and retrieve the wardrobe,Pergi ke tie laundry room dan pick up the board; kemudian move ke bedroom and retrieve the wardrobe,2,2,10,7,142,136
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bedroom dan pick up the dressers; kemudian move ke living room and retrieve the tv,Pergi ke bedroom dan pick up the dressers; kemudian move ke living room and retrieve the tv,2,2,8,5,107,103
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bathroom dan pick up the rack; kemudian move ke bedroom and retrieve the alarm clock,Pergi ke bathroom dan pick up the rack; kemudian move ke bedroom and retrieve the alarm clock,2,2,8,11,76,66
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bedroom dan pick up the painting; kemudian move ke living room and place it neatly on the armchair,Pergi ke bedroom dan pick up the painting; kemudian move ke living room and place it neatly on the armchair,2,2,8,3,215,213
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bathroom dan pick up the towel; kemudian move ke bedroom and retrieve the lamp,Pergi ke bathroom dan pick up the towel; kemudian move ke bedroom and retrieve the lamp,2,2,8,6,89,84
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke rec room dan pick up the fire extinguisher; kemudian move ke living room and retrieve the cup,Pergi ke rec room dan pick up the fire extinguisher; kemudian move ke living room and retrieve the cup,2,2,8,17,148,132
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bathroom dan pick up the liquid soap; kemudian move ke bedroom and retrieve the stuffed animal,Pergi ke bathroom dan pick up the liquid soap; kemudian move ke bedroom and retrieve the stuffed animal,2,2,8,8,40,33
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bedroom dan pick up the box; kemudian move ke living room and retrieve the sofa,Pergi ke bedroom dan pick up the box; kemudian move ke living room and retrieve the sofa,2,2,8,3,95,93
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bathroom dan pick up the handbag; kemudian move ke bedroom and retrieve the alarm clock,Pergi ke bathroom dan pick up the handbag; kemudian move ke bedroom and retrieve the alarm clock,2,2,8,4,112,109
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bathroom dan pick up the shower hose; kemudian move ke bedroom and retrieve the heater,Pergi ke bathroom dan pick up the shower hose; kemudian move ke bedroom and retrieve the heater,2,2,8,1,72,72
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke office and pick up the picture; then move to bedroom and retrieve the cloth,Pergi ke office and pick up the picture; then move to bedroom and retrieve the cloth,2,2,8,3,81,79
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bathroom dan pick up the soap bottle; kemudian move ke bedroom and retrieve the bag,Pergi ke bathroom dan pick up the soap bottle; kemudian move ke bedroom and retrieve the bag,2,2,8,2,49,48
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bathroom dan pick up the towel; kemudian move ke bedroom and retrieve the toy,Pergi ke bathroom dan pick up the towel; kemudian move ke bedroom and retrieve the toy,2,2,7,3,51,49
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke kitchen dan pick up the knife; kemudian move ke bedroom and retrieve the book,Pergi ke kitchen dan pick up the knife; kemudian move ke bedroom and retrieve the book,2,2,6,6,103,98
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke kitchen dan pick up the microwave; kemudian move ke bedroom and retrieve the lamp,Pergi ke kitchen dan pick up the microwave; kemudian move ke bedroom and retrieve the lamp,2,2,6,6,81,76
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bathroom dan pick up the towel; kemudian move ke bedroom and retrieve the picture,Pergi ke bathroom dan pick up the towel; kemudian move ke bedroom and retrieve the picture,2,2,6,7,109,103
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke kitchen dan pick up the bowl of fruit; kemudian move ke bedroom and retrieve the book,Pergi ke kitchen dan pick up the bowl of fruit; kemudian move ke bedroom and retrieve the book,2,2,6,3,108,106
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bathroom dan pick up the liquid soap; kemudian move ke bedroom and retrieve the hanger,Pergi ke bathroom dan pick up the liquid soap; kemudian move ke bedroom and retrieve the hanger,2,2,6,0,77,78
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bathroom dan pick up the bath grab bar; kemudian move ke bedroom and retrieve the stuffed animal,Pergi ke bathroom dan pick up the bath grab bar; kemudian move ke bedroom and retrieve the stuffed animal,2,2,6,8,36,29
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke office and pick up the book; then move to bedroom and retrieve the cabinet,Pergi ke office and pick up the book; then move to bedroom and retrieve the cabinet,2,2,6,22,141,120
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bathroom dan pick up the soap dispenser; kemudian move ke bedroom and retrieve the hat,Pergi ke bathroom dan pick up the soap dispenser; kemudian move ke bedroom and retrieve the hat,2,2,6,6,102,97
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke office and pick up the cabinet; kemudian move to bedroom and retrieve the notebook,Pergi ke office and pick up the cabinet; kemudian move to bedroom and retrieve the notebook,2,2,6,22,111,90
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bathroom dan pick up the decorative plant; kemudian move ke bedroom and retrieve the stuffed animal,Pergi ke bathroom dan pick up the decorative plant; kemudian move ke bedroom and retrieve the stuffed animal,2,2,6,8,38,31
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke kitchen dan pick up the basket of something; kemudian move to bedroom and retrieve the hanger,Pergi ke kitchen dan pick up the basket of something; kemudian move to bedroom and retrieve the hanger,2,2,6,3,39,37
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke kitchen dan pick up the pitcher; kemudian move ke bedroom and retrieve the hanger,Pergi ke kitchen dan pick up the pitcher; kemudian move ke bedroom and retrieve the hanger,2,2,6,3,85,83
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bedroom dan pick up the armchair; kemudian move ke living room and place it neatly on the coffee table,Pergi ke bedroom dan pick up the armchair; kemudian move ke living room and place it neatly on the coffee table,2,2,6,6,172,167
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke Tie: Kitchen & Living room dan pick up the door; kemudian move ke Bedroom and retrieve the sensor,Pergi ke Tie: Kitchen & Living room dan pick up the door; kemudian move ke Bedroom and retrieve the sensor,2,2,6,2,91,90
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bathroom dan pick up the shower dial; kemudian move ke bedroom and retrieve the stuffed animal,Pergi ke bathroom dan pick up the shower dial; kemudian move ke bedroom and retrieve the stuffed animal,2,2,6,8,36,29
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bathroom dan pick up the toilet brush; kemudian move ke bedroom and retrieve the lamp,Pergi ke bathroom dan pick up the toilet brush; kemudian move ke bedroom and retrieve the lamp,1,1,5,1,41,41
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bathroom dan pick up the towel bar; kemudian move ke bedroom and retrieve the picture,Pergi ke bathroom dan pick up the towel bar; kemudian move ke bedroom and retrieve the picture,1,1,5,3,52,50
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bedroom dan pick up the lamp; kemudian move ke living room and retrieve the plant,Pergi ke bedroom dan pick up the lamp; kemudian move ke living room and retrieve the plant,2,2,5,3,78,76
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bathroom dan pick up the towel; kemudian move ke bedroom and retrieve the bed table,Pergi ke bathroom dan pick up the towel; kemudian move ke bedroom and retrieve the bed table,1,1,5,11,58,48
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bathroom dan pick up the towel ring; kemudian move ke kitchen and retrieve the paper towel,Pergi ke bathroom dan pick up the towel ring; kemudian move ke kitchen and retrieve the paper towel,2,2,4,8,74,67
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke tie between kitchen and living room dan pick up the rope; kemudian move ke bedroom and retrieve the picture,Pergi ke tie between kitchen and living room dan pick up the rope; kemudian move ke bedroom and retrieve the picture,2,2,4,0,67,68
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke kitchen dan pick up the bowl of fruit; kemudian move ke bedroom and retrieve the lamp,Pergi ke kitchen dan pick up the bowl of fruit; kemudian move ke bedroom and retrieve the lamp,2,2,4,2,49,48
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bedroom dan pick up the tv remote; kemudian move ke living room and retrieve the picture,Pergi ke bedroom dan pick up the tv remote; kemudian move ke living room and retrieve the picture,2,2,4,4,43,40
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke kitchen dan pick up the vessel; kemudian move to bedroom and retrieve the blanket,Pergi ke kitchen dan pick up the vessel; kemudian move to bedroom and retrieve the blanket,2,2,4,3,54,52
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke tie between kitchen and living room dan pick up the hanger; kemudian move ke bedroom and retrieve the statue,Pergi ke tie between kitchen and living room dan pick up the hanger; kemudian move ke bedroom and retrieve the statue,2,2,4,0,68,69
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bathroom dan pick up the perfume; kemudian move ke bedroom and retrieve the vase,Pergi ke bathroom dan pick up the perfume; kemudian move ke bedroom and retrieve the vase,2,2,4,9,76,68
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke kitchen dan pick up the stool; kemudian move ke bedroom and retrieve the plush toy,Pergi ke kitchen dan pick up the stool; kemudian move ke bedroom and retrieve the plush toy,2,2,4,3,90,88
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke kitchen dan pick up the fruit; kemudian move ke bedroom and retrieve the lamp,Pergi ke kitchen dan pick up the fruit; kemudian move ke bedroom and retrieve the lamp,2,2,4,0,60,61
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bathroom dan pick up the towel; kemudian move ke bedroom and retrieve the clothes hanger,Pergi ke bathroom dan pick up the towel; kemudian move ke bedroom and retrieve the clothes hanger,2,2,4,1,54,54
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke Tie: Office & Kitchen dan pick up the keyboard; kemudian move ke Bathroom and retrieve the monitor,Pergi ke Tie: Office & Kitchen dan pick up the keyboard; kemudian move ke Bathroom and retrieve the monitor,2,2,4,3,68,66
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke kitchen dan pick up the detergent; kemudian move ke bedroom and retrieve the clock,Pergi ke kitchen dan pick up the detergent; kemudian move ke bedroom and retrieve the clock,1,1,3,13,54,42
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bathroom dan pick up the towel; kemudian move ke bedroom and retrieve the decorative plant,Pergi ke bathroom dan pick up the towel; kemudian move ke bedroom and retrieve the decorative plant,1,1,3,7,20,14
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bathroom dan pick up the towel; kemudian move ke bedroom and retrieve the laundry basket,Pergi ke bathroom dan pick up the towel; kemudian move ke bedroom and retrieve the laundry basket,1,1,3,2,20,19
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke tie between kitchen and living room dan pick up the rug; kemudian move ke bedroom and retrieve the statue,Pergi ke tie between kitchen and living room dan pick up the rug; kemudian move ke bedroom and retrieve the statue,1,1,3,4,60,57
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke kitchen dan pick up the tray; kemudian move ke bedroom and retrieve the clock,Pergi ke kitchen dan pick up the tray; kemudian move ke bedroom and retrieve the clock,1,1,3,13,54,42
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke kitchen dan pick up the knife set; kemudian move ke bedroom and retrieve the clock,Pergi ke kitchen dan pick up the knife set; kemudian move ke bedroom and retrieve the clock,1,1,3,13,54,42
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke kitchen dan pick up the fruit; kemudian move to bedroom and retrieve the picture,Pergi ke kitchen dan pick up the fruit; kemudian move to bedroom and retrieve the picture,2,2,2,0,45,46
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke kitchen dan pick up the cabinet door; kemudian move ke bedroom and retrieve the chest of drawers,Pergi ke kitchen dan pick up the cabinet door; kemudian move ke bedroom and retrieve the chest of drawers,1,1,2,10,35,26
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bathroom dan pick up the towel; kemudian move ke bedroom and retrieve the plush toy,Pergi ke bathroom dan pick up the towel; kemudian move ke bedroom and retrieve the plush toy,2,2,2,5,39,35
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bathroom dan pick up the towel; kemudian move ke bedroom and retrieve the armchair,Pergi ke bathroom dan pick up the towel; kemudian move ke bedroom and retrieve the armchair,2,2,2,5,41,37
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke kitchen dan pick up the clock; kemudian move ke bedroom and retrieve the picture,Pergi ke kitchen dan pick up the clock; kemudian move ke bedroom and retrieve the picture,2,2,2,0,47,48
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bedroom and pick up the cabinet; kemudian move to bathroom and retrieve the picture,Pergi ke bedroom and pick up the cabinet; kemudian move to bathroom and retrieve the picture,2,2,2,2,45,44
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke kitchen dan pick up the fruit; kemudian move ke bedroom and retrieve the picture,Pergi ke kitchen dan pick up the fruit; kemudian move ke bedroom and retrieve the picture,2,2,2,0,45,46
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bedroom dan pick up the hat; kemudian move ke bathroom and retrieve the rack,Pergi ke bedroom dan pick up the hat; kemudian move ke bathroom and retrieve the rack,1,1,1,14,31,18
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke kitchen dan pick up the toaster; kemudian move ke bedroom and retrieve the clock,Pergi ke kitchen dan pick up the toaster; kemudian move ke bedroom and retrieve the clock,1,1,1,24,49,26
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bedroom dan pick up the book; kemudian move ke kitchen and retrieve the flatware,Pergi ke bedroom dan pick up the book; kemudian move ke kitchen and retrieve the flatware,1,1,1,6,12,7
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke kitchen dan pick up the cup; kemudian move ke bedroom and retrieve the violin,Pergi ke kitchen dan pick up the cup; kemudian move ke bedroom and retrieve the violin,1,1,1,20,26,7
2,/home/aimldl/navgen_without_gpt4/nav_gen/task/2/Pergi ke bathroom dan pick up the towel; kemudian move ke bedroom and retrieve the bathrobe,Pergi ke bathroom dan pick up the towel; kemudian move ke bedroom and retrieve the bathrobe,1,1,1,12,26,15
3,"/home/aimldl/navgen_without_gpt4/nav_gen/task/3/Ambil can of paint dari hall, kemudian move ke bedroom dan set it on the nightstand; selanjutnya, go to living room and retrieve the table lamp","Ambil can of paint dari hall, kemudian move ke bedroom dan set it on the nightstand; selanjutnya, go to living room and retrieve the table lamp",3,3,43,6,301,296
3,"/home/aimldl/navgen_without_gpt4/nav_gen/task/3/Ambil plunger dari hall, kemudian move ke bedroom and set it on the nightstand; selanjutnya, go to bathroom and retrieve the towel bar","Ambil plunger dari hall, kemudian move ke bedroom and set it on the nightstand; selanjutnya, go to bathroom and retrieve the towel bar",3,3,39,6,299,294
3,"/home/aimldl/navgen_without_gpt4/nav_gen/task/3/Ambil cardbox box dari laundry room, kemudian move ke bedroom dan set it on the dresser; selanjutnya, go to bathroom and retrieve the hand soap","Ambil cardbox box dari laundry room, kemudian move ke bedroom dan set it on the dresser; selanjutnya, go to bathroom and retrieve the hand soap",3,3,33,3,169,167
3,"/home/aimldl/navgen_without_gpt4/nav_gen/task/3/Ambil fan dari office, kemudian move ke bathroom dan set it on the shelf; selanjutnya, go to bedroom and retrieve the toy","Ambil fan dari office, kemudian move ke bathroom dan set it on the shelf; selanjutnya, go to bedroom and retrieve the toy",3,3,33,3,438,436
3,"/home/aimldl/navgen_without_gpt4/nav_gen/task/3/Ambil box of fruit dari garage, kemudian move ke laundry room dan set it on the container; selanjutnya, go to bathroom and retrieve the towel","Ambil box of fruit dari garage, kemudian move ke laundry room dan set it on the container; selanjutnya, go to bathroom and retrieve the towel",3,3,29,3,195,193
3,"/home/aimldl/navgen_without_gpt4/nav_gen/task/3/Ambil shoe dari garage, kemudian move ke laundry room and place it neatly on the shelf; selanjutnya, go to bathroom and retrieve the hanger","Ambil shoe dari garage, kemudian move ke laundry room and place it neatly on the shelf; selanjutnya, go to bathroom and retrieve the hanger",3,3,29,3,250,248
3,"/home/aimldl/navgen_without_gpt4/nav_gen/task/3/Ambil bag dari garage, kemudian move ke laundry room dan set it on the hanger; selanjutnya, go to bathroom and retrieve the towel","Ambil bag dari garage, kemudian move ke laundry room dan set it on the hanger; selanjutnya, go to bathroom and retrieve the towel",3,3,27,3,171,169
3,"/home/aimldl/navgen_without_gpt4/nav_gen/task/3/Ambil picture dari bedroom, kemudian move ke office dan set it on the table; selanjutnya, go to bathroom and retrieve the bottle of soap","Ambil picture dari bedroom, kemudian move ke office dan set it on the table; selanjutnya, go to bathroom and retrieve the bottle of soap",3,3,27,13,194,182
3,"/home/aimldl/navgen_without_gpt4/nav_gen/task/3/Ambil book dari bedroom ke living room, kemudian move ke bathroom and retrieve the toilet paper dispenser","Ambil book dari bedroom ke living room, kemudian move ke bathroom and retrieve the toilet paper dispenser",3,3,27,7,358,352
3,"/home/aimldl/navgen_without_gpt4/nav_gen/task/3/Ambil picture dari bedroom, kemudian move ke kitchen dan set it on the cutting board; selanjutnya, go to bathroom and retrieve the towel bar","Ambil picture dari bedroom, kemudian move ke kitchen dan set it on the cutting board; selanjutnya, go to bathroom and retrieve the towel bar",3,3,26,47,253,207
3,"/home/aimldl/navgen_without_gpt4/nav_gen/task/3/Ambil book dari bedroom, kemudian move ke bathroom dan set it on the towel bar; selanjutnya, go to kitchen and retrieve the cloth","Ambil book dari bedroom, kemudian move ke bathroom dan set it on the towel bar; selanjutnya, go to kitchen and retrieve the cloth",3,3,25,6,239,234
3,"/home/aimldl/navgen_without_gpt4/nav_gen/task/3/Pergi ke bathroom dan pick up the toilet paper; kemudian move ke bedroom and place it on the nightstand; setelah itu, go to the kitchen and retrieve the knife","Pergi ke bathroom dan pick up the toilet paper; kemudian move ke bedroom and place it on the nightstand; setelah itu, go to the kitchen and retrieve the knife",3,3,25,3,267,265
3,"/home/aimldl/navgen_without_gpt4/nav_gen/task/3/Ambil book dari bedroom, kemudian move ke tie area dan set it on the wardrobe; selanjutnya, go to bathroom and retrieve the toilet paper dispenser","Ambil book dari bedroom, kemudian move ke tie area dan set it on the wardrobe; selanjutnya, go to bathroom and retrieve the toilet paper dispenser",3,3,25,18,208,191
3,"/home/aimldl/navgen_without_gpt4/nav_gen/task/3/Pergi ke bathroom dan pick up the toilet paper; kemudian move ke bedroom and place it on the nightstand; setelah itu, go to the kitchen and retrieve the kettle","Pergi ke bathroom dan pick up the toilet paper; kemudian move ke bedroom and place it on the nightstand; setelah itu, go to the kitchen and retrieve the kettle",3,3,25,3,270,268
